on x=-40..7,y=-3..49,z=-48..6
on x=-29541..7458,y=-90145..-57044,z=-35054..-11576
on x=-10648..7954,y=-52949..-37015,z=51897..84477
on x=71634..87410,y=-20915..-15029,z=21564..38229
on x=-45805..-19490,y=-76458..-46791,z=13612..38412
on x=46952..72024,y=12007..31441,z=-64360..-43961
on x=-83434..-50243,y=-40251..-12284,z=10710..45032
on x=-84933..-68979,y=10644..21421,z=18662..43382
on x=41424..64670,y=49202..67746,z=-3488..24596
on x=-58317..-38261,y=25020..54489,z=-62333..-35139
on x=31402..52264,y=-39865..-3557,z=-61229..-45665
on x=11038..34450,y=-70660..-57200,z=23378..47844
on x=-61703..-48338,y=28118..53935,z=40276..44980
on x=-53403..-37172,y=-42771..-24798,z=44461..67302
on x=-6688..14480,y=75749..99074,z=-5417..6505
on x=5384..35432,y=-77335..-56400,z=-59871..-33791
on x=1603..24013,y=59386..75157,z=17493..37220
on x=16902..40265,y=20481..51075,z=-81132..-52892
on x=-31160..-5046,y=-92494..-74285,z=8537..12802
on x=-18183..-13833,y=13153..49953,z=66118..75643
on x=55672..76342,y=2135..27763,z=-45212..-19364
on x=35438..68301,y=43753..57908,z=-41226..-18528
on x=23646..35699,y=-76449..-53997,z=-21377..-14127
on x=-31654..-19008,y=18663..34709,z=-81288..-51590
on x=-76966..-59040,y=-46340..-22258,z=-5666..22990
on x=-31214..-20656,y=12464..42872,z=-86327..-52582
on x=21093..34180,y=-67130..-31862,z=44205..71945
on x=-68172..-49487,y=-62236..-47858,z=-31864..-4610
on x=13353..24199,y=66632..85682,z=-12135..20096
on x=-74820..-59297,y=-51864..-14460,z=-18528..3692
on x=-13545..3537,y=63598..83395,z=-31867..528
on x=-62438..-44176,y=-30526..3969,z=46663..68416
on x=22083..43728,y=2257..18901,z=54139..77885
on x=63102..90207,y=-36610..-21973,z=17017..37294
on x=-25513..-2920,y=-55321..-26346,z=-82595..-58662
on x=-59282..-47912,y=-22135..4940,z=-76370..-45984
on x=-46516..-37421,y=-40875..-30419,z=50078..67090
on x=247..17678,y=59666..73669,z=41161..66030
on x=41843..59744,y=-66781..-53325,z=-8026..-866
on x=56442..67337,y=31447..38104,z=15633..26441
on x=22246..52258,y=-33697..-12636,z=45175..80705
on x=25597..36312,y=1997..19204,z=-79738..-54986
on x=-15480..5974,y=-36965..-8946,z=72200..96085
on x=-44938..-16803,y=14179..37894,z=63576..70737
on x=-60563..-26278,y=35288..61821,z=28791..43958
on x=-2781..27047,y=-78181..-60658,z=7115..28869
on x=10325..34851,y=-48783..-28260,z=-85849..-67966
on x=-9545..5720,y=-66451..-53654,z=44770..66479
on x=-58489..-28712,y=44411..67195,z=-58310..-33840
on x=24722..34486,y=-67833..-40454,z=-67381..-40990
on x=58610..73788,y=-12225..7126,z=23646..51111
on x=-37164..-13729,y=62914..77209,z=11097..21143
on x=50156..70243,y=-47706..-13090,z=-39835..-13351
on x=76207..92507,y=-24144..7547,z=-2126..5790
on x=7817..31657,y=-55682..-32888,z=-81159..-52172
on x=71906..91201,y=12680..26262,z=3440..23272
on x=-38023..-4461,y=-83735..-46050,z=-56158..-38260
on x=-29161..-15540,y=-46665..-40319,z=57913..75651
on x=-21117..-9729,y=-29641..-21318,z=70665..79125
on x=-87374..-70709,y=-21190..-6753,z=-8554..26648
on x=18046..42722,y=48725..78913,z=-43262..-35039
on x=29634..46384,y=48479..70190,z=-54430..-25966
on x=49482..67130,y=-27612..-5693,z=32204..54616
on x=-18852..-12914,y=68426..76907,z=-30812..-26331
on x=31377..37346,y=22930..58293,z=-67913..-49831
on x=-39598..-27748,y=6896..20187,z=-73733..-67722
on x=27751..40846,y=44762..73826,z=25432..54560
on x=67176..86690,y=-29998..-10307,z=-42471..-11162
on x=-60642..-28188,y=-43985..-29075,z=-70335..-53311
on x=-23536..-1020,y=61753..77289,z=-65238..-29581
on x=-75390..-64417,y=5503..30410,z=-42131..-14557
on x=38542..53411,y=-59214..-34215,z=40608..53343
on x=-9650..8906,y=-28406..3212,z=-82649..-62885
on x=-2849..20704,y=-5170..17802,z=-79401..-74877
on x=-56789..-34867,y=12504..18099,z=-63987..-57513
on x=-42510..-29442,y=60034..69734,z=30430..48273
on x=40496..64946,y=5792..10312,z=45679..68128
off x=36887..57526,y=47538..63530,z=-42985..-28341
off x=33479..58411,y=-68548..-46527,z=13251..39103
on x=63072..81417,y=15646..49394,z=21504..45148
off x=-76216..-61912,y=-30534..-17551,z=-50280..-26222
off x=25878..59914,y=-64350..-36188,z=27874..39360
on x=-51496..-46945,y=-5396..29398,z=-78407..-50985
off x=-68762..-50445,y=33207..52061,z=-42617..-15847
off x=-45658..-24730,y=-13226..12659,z=57392..77206
on x=-8068..23761,y=-48399..-28155,z=50498..71412
on x=16850..27765,y=-77260..-62223,z=-47859..-28554
on x=-24227..-1152,y=60223..84591,z=-28685..-1888
on x=-83203..-60907,y=-38213..-1290,z=-19771..-3635
off x=22050..29566,y=-55088..-28774,z=-82502..-48350
off x=55602..73932,y=30508..60779,z=-18418..563
on x=18396..43696,y=48295..65403,z=-50879..-28862
off x=58964..95810,y=5076..9444,z=-15462..-7722
off x=65419..97082,y=-12404..4511,z=-19581..3679
off x=58822..78853,y=-31174..-6818,z=-32926..-19059
off x=2312..14918,y=-14468..-8421,z=-82159..-63347
off x=-8615..6715,y=-34749..-9928,z=-85890..-73180
on x=10021..28727,y=60507..75964,z=-46068..-16944
on x=47209..85189,y=-33718..-120,z=-50448..-29027
off x=-69679..-64804,y=-62936..-27943,z=-6028..3121
on x=11568..38288,y=-77218..-72840,z=-1658..28856
off x=68949..83664,y=-11073..17816,z=29484..47100
on x=-42138..-25168,y=22944..40683,z=45644..72158
off x=-54212..-23198,y=54848..84031,z=-34752..-8583
off x=-61743..-43915,y=-62636..-51044,z=-40084..-19481
off x=-58593..-36205,y=-53837..-28785,z=34877..51154
on x=-29140..-7627,y=-81905..-73121,z=714..9303
off x=-70736..-46090,y=-53884..-41570,z=-23826..-13883
on x=64926..88584,y=-32881..-6387,z=18988..43795
on x=33758..45337,y=-41289..-13923,z=66720..86882
off x=67177..85594,y=-1270..27149,z=-12298..10562
on x=-30728..-9677,y=-80101..-71392,z=-7737..6045
on x=-34058..-11169,y=-84130..-59611,z=-2411..25556
on x=-82888..-45532,y=-53498..-43399,z=-15466..12569
on x=53096..73732,y=-31292..-271,z=46937..54564
off x=58806..72491,y=-35114..-15573,z=-32393..-15887
on x=-32570..-20445,y=-70056..-55586,z=15130..43528
off x=8231..26748,y=-52110..-30753,z=-83079..-61762
on x=-7168..18004,y=-85219..-76351,z=-55..15553
on x=-48759..-17822,y=56514..81093,z=-17816..-268
off x=71494..89379,y=-20577..5421,z=-16229..3599
on x=-74127..-61857,y=-37318..-16386,z=23418..48020
off x=46250..64727,y=39997..55663,z=-659..22759
on x=-3747..18906,y=-88542..-51288,z=-50866..-25393
on x=11967..39179,y=-42409..-27075,z=51760..78913
off x=32634..54583,y=53351..78683,z=37069..52980
on x=-45801..-34391,y=6739..35543,z=-80719..-61475
off x=-59939..-43493,y=-2816..19380,z=43062..76353
on x=-54552..-45916,y=30463..59717,z=-60676..-40687
off x=947..37295,y=17259..35699,z=-77711..-57213
on x=-34155..-16112,y=58205..77747,z=10469..35078
off x=-41364..-24954,y=-55475..-20679,z=53974..74195
on x=-5866..6658,y=-10037..4333,z=69763..93051
off x=40058..68698,y=51027..74309,z=-3345..5414
on x=-41513..-26098,y=-47848..-29818,z=44033..62222
off x=-68876..-57248,y=30233..44005,z=21522..38471
on x=-10503..7050,y=-33479..-26016,z=-81965..-69000
on x=-63996..-35550,y=23827..38930,z=50227..78098
on x=-34663..-17363,y=57015..82338,z=-32869..-17105
on x=30784..51645,y=32138..66808,z=31941..61168
off x=-3755..2895,y=-64141..-57971,z=36971..58497
on x=-20087..3384,y=-63838..-35555,z=57392..69703
on x=-86557..-54970,y=14861..40412,z=27350..36531
on x=15258..32146,y=26537..42919,z=65823..68594
off x=13862..42242,y=-84456..-71150,z=-13132..5905
off x=-42982..-21849,y=-73917..-48154,z=21993..50847
on x=-29379..-7101,y=29242..38662,z=-79142..-60459
off x=11546..49500,y=61301..86969,z=-22865..4577
on x=-48399..-37677,y=60118..82209,z=-25376..-6657
on x=-57062..-36839,y=-59454..-56603,z=13677..38428
off x=-34067..-21168,y=-81243..-56765,z=-17444..3822
off x=44352..64136,y=50950..67304,z=1643..23339
off x=64615..79759,y=19545..29449,z=-24935..-16190
off x=25709..39422,y=-76035..-66047,z=-30123..3414
on x=-66361..-38785,y=-60420..-53479,z=13651..34601
on x=26547..53719,y=25778..42415,z=-71893..-46470
off x=35485..64687,y=32129..59334,z=31017..53502
off x=-27532..-16323,y=42528..53056,z=44767..66976
off x=-85657..-60092,y=-4500..16282,z=25434..42820
on x=10591..32952,y=-55737..-51910,z=45939..63149
off x=37813..46415,y=-23900..-17178,z=-86629..-47985
on x=-73010..-52678,y=21009..53737,z=11818..30585
on x=54601..63218,y=-64449..-41296,z=-8460..15915
on x=-16576..-10827,y=4232..34251,z=-81741..-62897
on x=67542..81394,y=-5704..24443,z=-36781..-3582
on x=-10656..21150,y=-13060..12841,z=-92317..-74508
on x=-64593..-54055,y=38045..53878,z=-46825..-28151
off x=36627..44665,y=-34351..-5917,z=-85072..-68088
off x=-23261..-5824,y=-22196..13929,z=57375..80182
off x=-32414..-14305,y=-83945..-60848,z=-17901..-6229
off x=-69199..-45106,y=-35361..-11117,z=47106..48416
on x=-17361..309,y=-87112..-75083,z=-17309..-846
on x=49576..70268,y=-52965..-28866,z=-33749..-13320
off x=-84872..-60225,y=21104..41143,z=-33952..253
off x=25065..53172,y=-74764..-50642,z=-27008..-12427
on x=5466..28561,y=58871..87353,z=3407..31099
off x=58159..69905,y=1719..21038,z=-56660..-32952
on x=49812..75324,y=42397..58595,z=10501..19992
off x=-28176..-5545,y=-4561..10768,z=66184..83235
on x=-36512..-16357,y=6529..33157,z=61540..79962
on x=-76835..-51187,y=23689..47550,z=26996..57187
on x=15920..39818,y=-73996..-51623,z=-40686..-18624
on x=74449..92921,y=-30516..-17926,z=6351..21131
off x=-36036..-18588,y=66163..82239,z=12845..17683
on x=-58293..-40285,y=41167..63632,z=5699..26703
off x=55508..80984,y=411..28348,z=45931..48884
on x=36567..70716,y=-64313..-46937,z=19533..31078
on x=57973..76789,y=640..32503,z=-46928..-15585
on x=40700..59637,y=58372..73306,z=-34813..-17979
on x=-35809..-16448,y=14279..36807,z=59850..75883
off x=-11980..15927,y=71172..89369,z=27605..44939
off x=-28383..-12868,y=-49010..-14693,z=67766..71069
on x=-63520..-57313,y=-65070..-41322,z=7548..28820
off x=-30097..-9794,y=50203..76545,z=-47190..-22675
on x=-10027..13876,y=42660..67586,z=-62549..-45351
off x=-75743..-41761,y=-18063..-8438,z=43896..51143
on x=-53973..-21852,y=19812..35895,z=-65245..-53623
on x=9327..30980,y=60724..81052,z=4679..22655
on x=-9382..14696,y=-12635..-7880,z=-92088..-71928
on x=-49568..-21303,y=45400..66270,z=-37218..-23585
on x=26374..50716,y=29522..45024,z=-72113..-50858
off x=-7123..9906,y=-30606..-21570,z=-89692..-60367
off x=24645..34685,y=-7385..-535,z=-75457..-69280
off x=46600..75937,y=42638..62019,z=-15214..-800
off x=-73156..-64899,y=-18542..6622,z=-51976..-33625
on x=-46953..-31989,y=-43453..-17942,z=48050..68549
off x=44491..64439,y=-52270..-47527,z=25565..42399
on x=54480..85695,y=-56683..-30655,z=-8303..15795
on x=29997..57709,y=62586..84888,z=-22633..2635
on x=-56730..-33262,y=-61124..-36167,z=-44900..-31218
on x=-36099..-17509,y=59225..80566,z=-49431..-28644
on x=45514..74203,y=-2009..10424,z=-65113..-45173
off x=-31309..-22150,y=-84143..-63111,z=26691..48979
off x=-68448..-52444,y=-49282..-47076,z=-6567..21766
on x=9190..23305,y=-40030..-24391,z=56198..85303
off x=5498..22227,y=-43923..-15355,z=-85770..-69241
off x=-61505..-41086,y=34956..58168,z=-43349..-24183
on x=-458..11929,y=14735..44319,z=60006..73064
off x=54250..68185,y=-71222..-34674,z=-28518..-15694
off x=-28528..42,y=-45762..-25317,z=64430..72231
off x=17184..32440,y=-43934..-25096,z=-75789..-65047
on x=-54107..-45535,y=-647..29416,z=56621..66738
on x=-63306..-50383,y=-54815..-51798,z=3488..23514
off x=-33064..-17821,y=-68795..-40276,z=48722..58281
off x=28813..45569,y=10091..43242,z=48567..79748
on x=-34407..-13658,y=-82959..-67725,z=-14721..-7549
off x=11006..38914,y=-64578..-54646,z=31394..48188
on x=-89516..-56035,y=-33338..-20011,z=23842..40221
on x=12382..42662,y=51972..71326,z=-51009..-29545
on x=-23497..-510,y=-14057..6559,z=-82664..-61835
off x=42738..44332,y=-45357..-25100,z=44137..62767
off x=-19799..9546,y=-63709..-45750,z=48687..64170
off x=-50529..-30472,y=-47930..-19905,z=-75205..-45624
off x=-23531..14033,y=68487..89564,z=8925..28259
on x=1663..20113,y=56791..75346,z=12276..44119
off x=45731..75170,y=-23286..393,z=-64525..-28621
on x=-78486..-56778,y=-31099..-18591,z=-48346..-25135
on x=-43514..-34754,y=67709..72495,z=-16374..5180
off x=32961..61842,y=-62894..-41340,z=-33931..-15049
on x=-52937..-36075,y=64942..83439,z=-3622..27175
off x=41640..61376,y=-70913..-50192,z=-23373..-12724
on x=16109..24715,y=-19443..8667,z=75001..90517
off x=14880..41615,y=37677..55218,z=-64590..-40070
off x=-93344..-73236,y=-27796..-24908,z=-10127..16501
off x=59960..65418,y=-4002..12224,z=-67984..-42193
on x=42351..56746,y=-20084..-13129,z=-65765..-51230
off x=-59234..-29355,y=-71438..-58469,z=-11162..7404
on x=51040..67401,y=-60224..-40198,z=-546..19625
on x=-77978..-59874,y=36001..58307,z=14976..23796
off x=56211..75341,y=8311..17708,z=-53749..-20735
on x=-36432..-7183,y=19575..30346,z=-86318..-58459
off x=-287..4588,y=-90791..-66459,z=-21768..4012
off x=-79379..-62831,y=-31440..-593,z=-17403..8089
off x=-35905..-18333,y=29389..56106,z=42947..70271
off x=25117..47923,y=3093..37238,z=-77359..-65332
on x=56769..88321,y=-37074..-5686,z=-21787..-6401
on x=-28981..-10417,y=28580..52377,z=-77998..-54458
off x=-24957..-267,y=35439..53345,z=51302..86849
off x=-47011..-30673,y=-6746..-378,z=65710..79497
off x=-73026..-58387,y=-27117..-1079,z=-58305..-36042
off x=-20512..4246,y=45491..71174,z=48277..50414
on x=23379..43354,y=63961..93513,z=3964..25213
off x=597..17616,y=-83653..-72150,z=-11879..21798
off x=-58597..-46587,y=12126..39528,z=-75993..-36792
on x=-2903..11768,y=72176..88526,z=23687..33143
on x=12525..24278,y=-2148..6961,z=59625..82181
on x=-84588..-72500,y=-29471..-14022,z=-16989..13434
off x=-58154..-34165,y=-74940..-54914,z=12160..19819
off x=-6724..14627,y=22646..53365,z=-88495..-61533
on x=-87262..-70236,y=-23648..3813,z=11206..27547
on x=53546..71522,y=-28908..-8027,z=46725..60604
on x=-81664..-64558,y=-26054..-6136,z=-43138..-11228
off x=74496..91204,y=1367..9913,z=-2108..16186
on x=-69821..-39879,y=-4418..23997,z=-65231..-50478
off x=6104..33203,y=65171..78461,z=26193..44937
off x=-4928..16268,y=50554..71798,z=-66020..-34009
off x=22174..43968,y=-69871..-46557,z=-37898..-23874
